date,ticker,segment,close,chg_1d_pct,chg_5d_pct,chg_20d_pct,volume_vs_20d_avg
2026-08-11,SNPS,EDA & Chip IP,410.23,-0.35,1.58,-3.68,0.24
2026-08-11,CDNS,EDA & Chip IP,326.99,-1.48,-4.0,-13.22,0.34
2026-08-11,ARM,EDA & Chip IP,267.0,-0.32,-4.83,-5.04,0.23
2026-08-11,ASML,Semiconductor Equipment (upstream),1786.08,3.03,4.33,0.72,0.49
2026-08-11,AMAT,Semiconductor Equipment (upstream),524.23,0.4,-4.1,-12.0,0.35
2026-08-11,LRCX,Semiconductor Equipment (upstream),310.8,1.44,-2.18,-10.2,0.31
2026-08-11,KLAC,Semiconductor Equipment (upstream),198.31,2.89,1.46,-13.92,0.28
2026-08-11,8035.T,Semiconductor Equipment (upstream),56750.0,4.13,3.2,-22.2,0.54
2026-08-11,6857.T,Semiconductor Equipment (upstream),34260.0,6.43,9.0,14.85,0.71
2026-08-11,TSM,Foundry & Manufacturing,421.73,0.78,1.09,0.32,0.42
2026-08-11,2330.TW,Foundry & Manufacturing,2380.0,0.42,0.42,-2.46,0.53
2026-08-11,UMC,Foundry & Manufacturing,19.0,1.09,-7.93,-20.32,0.23
2026-08-11,GFS,Foundry & Manufacturing,50.61,1.12,-2.71,-20.16,0.33
2026-08-11,INTC,Foundry & Manufacturing,97.24,-0.29,-3.59,-9.77,0.96
2026-08-11,MU,Memory & Storage,853.59,-0.86,-4.38,-13.18,0.47
2026-08-11,005930.KS,Memory & Storage,230000.0,-0.43,-3.97,-19.3,0.53
2026-08-11,000660.KS,Memory & Storage,1420000.0,-0.14,-9.38,-34.86,0.51
2026-08-11,WDC,Memory & Storage,441.64,0.75,-19.49,-21.6,0.39
2026-08-11,STX,Memory & Storage,822.88,2.73,-2.66,-6.31,0.32
2026-08-11,NVDA,Chip Designers (fabless),217.66,0.05,2.7,2.76,0.47
2026-08-11,AMD,Chip Designers (fabless),468.53,-0.22,-9.65,-14.52,0.33
2026-08-11,QCOM,Chip Designers (fabless),162.21,0.02,-0.28,-8.92,0.26
2026-08-11,AVGO,Chip Designers (fabless),417.88,-1.07,-0.07,7.39,0.27
2026-08-11,MRVL,Chip Designers (fabless),209.26,0.34,-4.27,-5.93,0.33
2026-08-11,2454.TW,Chip Designers (fabless),3960.0,1.54,1.28,3.53,0.61
2026-08-11,ANET,Networking & Data Center Hardware,196.29,2.49,3.03,7.51,0.41
2026-08-11,CSCO,Networking & Data Center Hardware,120.88,-1.38,-0.71,3.24,0.36
2026-08-11,SMCI,Networking & Data Center Hardware,31.28,-0.57,-1.29,13.13,0.77
2026-08-11,DELL,Networking & Data Center Hardware,440.95,-3.7,-5.63,-3.47,0.44
2026-08-11,HPE,Networking & Data Center Hardware,54.49,-0.35,4.01,9.95,0.41
2026-08-11,VRT,Networking & Data Center Hardware,277.51,2.74,2.81,-8.59,0.35
2026-08-11,MSFT,Cloud & Hyperscalers (demand side),503.14,-0.58,2.1,30.71,0.27
2026-08-11,GOOGL,Cloud & Hyperscalers (demand side),347.36,-2.84,-8.02,-3.38,0.42
2026-08-11,AMZN,Cloud & Hyperscalers (demand side),272.65,-1.96,-1.72,10.17,0.3
2026-08-11,META,Cloud & Hyperscalers (demand side),604.87,1.67,2.88,-8.5,0.48
2026-08-11,ORCL,Cloud & Hyperscalers (demand side),145.18,-3.89,-0.38,13.47,0.49
2026-08-11,BABA,Cloud & Hyperscalers (demand side),128.5,-2.89,-0.38,14.4,0.39
2026-08-11,AAPL,Devices & Consumer OEM,306.11,-0.7,-0.97,-2.7,0.3
2026-08-11,2317.TW,Devices & Consumer OEM,264.5,1.73,4.55,11.84,0.61
2026-08-11,6758.T,Devices & Consumer OEM,3764.0,1.16,4.88,12.06,0.9
2026-08-11,1810.HK,Devices & Consumer OEM,27.62,2.07,-1.22,6.89,0.68
2026-08-11,CRM,Software & AI Platforms,197.2,-0.16,3.25,17.69,0.33
2026-08-11,NOW,Software & AI Platforms,126.64,-0.63,7.19,20.78,0.3
2026-08-11,PLTR,Software & AI Platforms,176.12,0.51,8.27,31.71,0.63
2026-08-11,SAP,Software & AI Platforms,208.51,-0.02,6.66,34.69,0.43
2026-08-11,SNOW,Software & AI Platforms,335.16,0.14,5.81,21.46,0.4
2026-08-11,ARW,Distribution & Materials,206.44,1.91,-9.32,-0.03,0.38
2026-08-11,AVT,Distribution & Materials,96.61,-0.81,4.41,12.28,0.35
2026-08-11,4063.T,Distribution & Materials,6286.0,2.78,7.54,-14.13,0.75
2026-08-11,LIN,Distribution & Materials,490.02,-0.5,1.11,-6.22,0.25
