date,ticker,segment,close,chg_1d_pct,chg_5d_pct,chg_20d_pct,volume_vs_20d_avg
2026-08-13,SNPS,EDA & Chip IP,413.5,0.29,1.85,-0.85,0.34
2026-08-13,CDNS,EDA & Chip IP,325.44,0.71,-3.84,-10.75,0.4
2026-08-13,ARM,EDA & Chip IP,282.99,4.09,-1.29,8.01,0.57
2026-08-13,ASML,Semiconductor Equipment (upstream),1871.34,3.39,9.8,4.98,0.43
2026-08-13,AMAT,Semiconductor Equipment (upstream),558.98,1.98,5.97,-0.35,0.58
2026-08-13,LRCX,Semiconductor Equipment (upstream),343.83,5.43,12.45,7.13,0.42
2026-08-13,KLAC,Semiconductor Equipment (upstream),213.04,2.3,10.26,-2.89,0.24
2026-08-13,8035.T,Semiconductor Equipment (upstream),58230.0,2.61,2.7,-18.33,0.58
2026-08-13,6857.T,Semiconductor Equipment (upstream),34550.0,0.85,11.45,19.88,0.73
2026-08-13,TSM,Foundry & Manufacturing,434.22,1.18,3.83,5.97,0.37
2026-08-13,2330.TW,Foundry & Manufacturing,2415.0,0.84,0.42,-1.02,0.52
2026-08-13,UMC,Foundry & Manufacturing,19.58,1.42,2.01,-12.14,0.21
2026-08-13,GFS,Foundry & Manufacturing,52.98,-0.38,5.2,-9.03,0.3
2026-08-13,INTC,Foundry & Manufacturing,105.56,4.57,5.76,8.85,0.61
2026-08-13,MU,Memory & Storage,968.98,6.33,9.93,13.57,0.61
2026-08-13,005930.KS,Memory & Storage,255500.0,6.68,3.86,-2.85,0.9
2026-08-13,000660.KS,Memory & Storage,1504000.0,5.54,-9.83,-21.38,0.74
2026-08-13,WDC,Memory & Storage,490.52,8.02,8.64,5.08,0.73
2026-08-13,STX,Memory & Storage,913.63,4.03,7.11,22.55,0.48
2026-08-13,NVDA,Chip Designers (fabless),225.54,0.65,2.99,8.75,0.48
2026-08-13,AMD,Chip Designers (fabless),493.22,2.13,0.81,-1.54,0.42
2026-08-13,QCOM,Chip Designers (fabless),165.62,1.56,3.26,-2.92,0.36
2026-08-13,AVGO,Chip Designers (fabless),420.79,1.14,0.05,12.38,0.36
2026-08-13,MRVL,Chip Designers (fabless),228.64,5.33,8.6,21.43,0.57
2026-08-13,2454.TW,Chip Designers (fabless),4015.0,-0.12,0.37,7.35,0.63
2026-08-13,ANET,Networking & Data Center Hardware,207.34,-1.5,7.81,23.01,0.41
2026-08-13,CSCO,Networking & Data Center Hardware,112.41,-9.26,-7.01,2.51,1.94
2026-08-13,SMCI,Networking & Data Center Hardware,40.09,6.59,36.45,62.44,1.68
2026-08-13,DELL,Networking & Data Center Hardware,498.97,2.99,14.01,27.7,0.97
2026-08-13,HPE,Networking & Data Center Hardware,60.2,2.4,14.82,33.39,1.14
2026-08-13,VRT,Networking & Data Center Hardware,291.25,1.0,5.84,-0.97,0.25
2026-08-13,MSFT,Cloud & Hyperscalers (demand side),494.51,0.42,-1.07,23.29,0.29
2026-08-13,GOOGL,Cloud & Hyperscalers (demand side),345.72,0.63,-3.36,-2.47,0.32
2026-08-13,AMZN,Cloud & Hyperscalers (demand side),265.17,-0.79,-2.6,6.12,0.37
2026-08-13,META,Cloud & Hyperscalers (demand side),589.21,1.79,-0.12,-11.34,0.37
2026-08-13,ORCL,Cloud & Hyperscalers (demand side),153.93,0.42,7.29,23.93,0.47
2026-08-13,BABA,Cloud & Hyperscalers (demand side),121.95,-2.61,-3.83,3.8,0.84
2026-08-13,AAPL,Devices & Consumer OEM,303.49,0.41,-2.77,-8.85,0.39
2026-08-13,2317.TW,Devices & Consumer OEM,270.0,2.66,4.45,12.97,1.08
2026-08-13,6758.T,Devices & Consumer OEM,3762.0,-0.05,6.3,12.6,0.87
2026-08-13,1810.HK,Devices & Consumer OEM,26.36,-1.13,-4.63,1.93,0.5
2026-08-13,CRM,Software & AI Platforms,192.65,-0.35,3.15,11.56,0.42
2026-08-13,NOW,Software & AI Platforms,123.44,-1.2,5.19,18.69,0.32
2026-08-13,PLTR,Software & AI Platforms,176.39,3.13,13.13,31.2,0.42
2026-08-13,SAP,Software & AI Platforms,202.64,-0.74,1.59,25.37,0.35
2026-08-13,SNOW,Software & AI Platforms,335.62,1.01,5.54,24.29,0.3
2026-08-13,ARW,Distribution & Materials,210.49,0.09,-5.31,4.31,0.23
2026-08-13,AVT,Distribution & Materials,96.7,-0.63,-0.1,13.56,0.24
2026-08-13,4063.T,Distribution & Materials,6410.0,1.97,7.07,-12.67,0.71
2026-08-13,LIN,Distribution & Materials,477.89,-0.32,-2.49,-8.54,0.43
