date,ticker,segment,close,chg_1d_pct,chg_5d_pct,chg_20d_pct,volume_vs_20d_avg
2026-09-12,SNPS,EDA & Chip IP,397.38,0.05,-4.55,-3.49,0.64
2026-09-12,CDNS,EDA & Chip IP,289.37,1.55,-5.09,-10.62,1.07
2026-09-12,ARM,EDA & Chip IP,264.79,4.17,9.15,-4.97,1.13
2026-09-12,ASML,Semiconductor Equipment (upstream),1698.3,0.64,3.17,-8.1,0.78
2026-09-12,AMAT,Semiconductor Equipment (upstream),456.49,0.55,4.72,-14.51,0.61
2026-09-12,LRCX,Semiconductor Equipment (upstream),298.22,0.07,1.9,-11.51,1.23
2026-09-12,KLAC,Semiconductor Equipment (upstream),180.64,1.95,4.45,-13.62,0.82
2026-09-12,8035.T,Semiconductor Equipment (upstream),51460.0,-2.56,-3.49,-12.97,1.36
2026-09-12,6857.T,Semiconductor Equipment (upstream),31720.0,-6.49,-4.14,-13.97,1.3
2026-09-12,TSM,Foundry & Manufacturing,433.24,1.22,3.89,0.64,1.16
2026-09-12,2330.TW,Foundry & Manufacturing,2410.0,-1.63,0.0,0.63,1.06
2026-09-12,UMC,Foundry & Manufacturing,22.64,2.35,14.0,16.82,0.67
2026-09-12,GFS,Foundry & Manufacturing,46.95,2.15,5.43,-10.89,0.99
2026-09-12,INTC,Foundry & Manufacturing,102.94,2.61,12.29,-1.55,0.93
2026-09-12,MU,Memory & Storage,975.26,-0.22,1.78,2.68,0.81
2026-09-12,005930.KS,Memory & Storage,259500.0,-3.53,1.57,-3.17,0.66
2026-09-12,000660.KS,Memory & Storage,1812000.0,-2.21,10.02,13.77,0.69
2026-09-12,WDC,Memory & Storage,447.18,-2.98,1.3,-8.2,0.82
2026-09-12,STX,Memory & Storage,830.17,-3.73,3.95,-9.9,1.06
2026-09-12,NVDA,Chip Designers (fabless),218.29,-0.03,-4.34,-3.0,0.69
2026-09-12,AMD,Chip Designers (fabless),516.13,2.49,13.15,6.86,1.06
2026-09-12,QCOM,Chip Designers (fabless),181.97,2.88,7.95,11.03,1.07
2026-09-12,AVGO,Chip Designers (fabless),361.99,0.32,1.35,-13.36,0.83
2026-09-12,MRVL,Chip Designers (fabless),236.1,4.03,13.06,6.27,0.71
2026-09-12,2454.TW,Chip Designers (fabless),4585.0,-2.86,3.85,8.91,0.89
2026-09-12,ANET,Networking & Data Center Hardware,199.59,5.61,4.26,-1.98,0.89
2026-09-12,CSCO,Networking & Data Center Hardware,112.13,4.37,3.24,-1.18,0.8
2026-09-12,SMCI,Networking & Data Center Hardware,40.1,7.28,5.89,2.4,1.05
2026-09-12,DELL,Networking & Data Center Hardware,567.29,11.98,9.86,14.72,1.69
2026-09-12,HPE,Networking & Data Center Hardware,62.09,12.44,14.05,3.79,1.71
2026-09-12,VRT,Networking & Data Center Hardware,257.06,3.6,-4.38,-10.45,1.02
2026-09-12,MSFT,Cloud & Hyperscalers (demand side),495.63,0.65,-2.84,-0.06,0.68
2026-09-12,GOOGL,Cloud & Hyperscalers (demand side),338.5,1.77,-1.1,-2.21,1.09
2026-09-12,AMZN,Cloud & Hyperscalers (demand side),256.78,1.94,-0.82,-3.15,0.83
2026-09-12,META,Cloud & Hyperscalers (demand side),648.03,0.57,6.12,8.92,0.96
2026-09-12,ORCL,Cloud & Hyperscalers (demand side),150.28,-1.74,-2.44,-3.8,3.31
2026-09-12,BABA,Cloud & Hyperscalers (demand side),109.3,0.68,-2.24,-10.53,0.46
2026-09-12,AAPL,Devices & Consumer OEM,332.27,1.75,1.24,8.85,1.21
2026-09-12,2317.TW,Devices & Consumer OEM,248.0,-1.2,-3.12,-4.43,0.71
2026-09-12,6758.T,Devices & Consumer OEM,3632.0,-0.22,-6.51,-7.16,1.01
2026-09-12,1810.HK,Devices & Consumer OEM,26.36,1.7,-7.31,2.89,0.79
2026-09-12,CRM,Software & AI Platforms,247.72,1.94,-6.32,23.02,0.58
2026-09-12,NOW,Software & AI Platforms,132.53,1.04,-8.97,4.15,0.62
2026-09-12,PLTR,Software & AI Platforms,167.23,0.83,-8.38,-6.58,0.52
2026-09-12,SAP,Software & AI Platforms,206.36,0.2,-4.92,-1.4,0.72
2026-09-12,SNOW,Software & AI Platforms,328.99,-0.22,-7.71,-2.49,0.85
2026-09-12,ARW,Distribution & Materials,228.2,6.92,8.22,9.09,1.49
2026-09-12,AVT,Distribution & Materials,99.63,7.16,10.14,4.21,1.83
2026-09-12,4063.T,Distribution & Materials,5738.0,-0.42,-0.83,-9.95,1.32
2026-09-12,LIN,Distribution & Materials,466.22,1.0,-3.31,-2.18,0.83
