date,ticker,segment,close,chg_1d_pct,chg_5d_pct,chg_20d_pct,volume_vs_20d_avg
2026-09-11,SNPS,EDA & Chip IP,399.43,0.57,-4.05,-2.99,0.31
2026-09-11,CDNS,EDA & Chip IP,292.57,2.67,-4.04,-9.64,0.54
2026-09-11,ARM,EDA & Chip IP,264.12,3.91,8.88,-5.21,0.85
2026-09-11,ASML,Semiconductor Equipment (upstream),1700.86,0.8,3.32,-7.96,0.54
2026-09-11,AMAT,Semiconductor Equipment (upstream),457.76,0.83,5.01,-14.27,0.33
2026-09-11,LRCX,Semiconductor Equipment (upstream),299.35,0.45,2.29,-11.17,0.42
2026-09-11,KLAC,Semiconductor Equipment (upstream),179.94,1.56,4.05,-13.96,0.41
2026-09-11,8035.T,Semiconductor Equipment (upstream),52810.0,-1.66,-0.92,-11.2,1.14
2026-09-11,6857.T,Semiconductor Equipment (upstream),33920.0,3.29,5.08,-5.62,1.18
2026-09-11,TSM,Foundry & Manufacturing,432.15,0.96,3.63,0.39,0.69
2026-09-11,2330.TW,Foundry & Manufacturing,2450.0,-0.61,2.51,0.62,1.02
2026-09-11,UMC,Foundry & Manufacturing,22.51,1.79,13.37,16.18,0.33
2026-09-11,GFS,Foundry & Manufacturing,47.0,2.26,5.55,-10.8,0.38
2026-09-11,INTC,Foundry & Manufacturing,103.21,2.89,12.59,-1.29,0.75
2026-09-11,MU,Memory & Storage,974.48,-0.3,1.7,2.6,0.64
2026-09-11,005930.KS,Memory & Storage,269000.0,-0.19,7.6,5.28,1.06
2026-09-11,000660.KS,Memory & Storage,1853000.0,-0.16,16.1,23.23,1.17
2026-09-11,WDC,Memory & Storage,447.77,-2.86,1.44,-8.08,0.55
2026-09-11,STX,Memory & Storage,830.58,-3.68,4.0,-9.85,0.76
2026-09-11,NVDA,Chip Designers (fabless),218.92,0.26,-4.06,-2.72,0.5
2026-09-11,AMD,Chip Designers (fabless),515.91,2.44,13.1,6.81,0.83
2026-09-11,QCOM,Chip Designers (fabless),182.66,3.27,8.36,11.45,0.69
2026-09-11,AVGO,Chip Designers (fabless),363.4,0.71,1.75,-13.02,0.41
2026-09-11,MRVL,Chip Designers (fabless),236.56,4.23,13.28,6.47,0.54
2026-09-11,2454.TW,Chip Designers (fabless),4720.0,2.05,8.76,11.72,0.77
2026-09-11,ANET,Networking & Data Center Hardware,198.99,5.29,3.94,-2.28,0.56
2026-09-11,CSCO,Networking & Data Center Hardware,111.44,3.72,2.61,-1.79,0.45
2026-09-11,SMCI,Networking & Data Center Hardware,39.82,6.53,5.15,1.69,0.85
2026-09-11,DELL,Networking & Data Center Hardware,559.31,10.4,8.31,13.1,1.41
2026-09-11,HPE,Networking & Data Center Hardware,61.08,10.61,12.2,2.11,1.2
2026-09-11,VRT,Networking & Data Center Hardware,257.76,3.88,-4.12,-10.21,0.76
2026-09-11,MSFT,Cloud & Hyperscalers (demand side),496.86,0.9,-2.6,0.18,0.39
2026-09-11,GOOGL,Cloud & Hyperscalers (demand side),338.98,1.92,-0.96,-2.07,0.68
2026-09-11,AMZN,Cloud & Hyperscalers (demand side),257.22,2.12,-0.65,-2.98,0.51
2026-09-11,META,Cloud & Hyperscalers (demand side),650.45,0.94,6.51,9.32,0.58
2026-09-11,ORCL,Cloud & Hyperscalers (demand side),151.86,-0.71,-1.42,-2.79,2.8
2026-09-11,BABA,Cloud & Hyperscalers (demand side),109.65,1.0,-1.93,-10.24,0.3
2026-09-11,AAPL,Devices & Consumer OEM,332.61,1.85,1.34,8.96,0.91
2026-09-11,2317.TW,Devices & Consumer OEM,251.0,-0.4,1.41,-4.2,1.06
2026-09-11,6758.T,Devices & Consumer OEM,3640.0,0.41,-6.55,-1.62,0.81
2026-09-11,1810.HK,Devices & Consumer OEM,25.92,-1.74,-5.54,0.15,1.04
2026-09-11,CRM,Software & AI Platforms,248.55,2.28,-6.01,23.43,0.36
2026-09-11,NOW,Software & AI Platforms,132.88,1.3,-8.73,4.42,0.42
2026-09-11,PLTR,Software & AI Platforms,167.59,1.04,-8.18,-6.38,0.34
2026-09-11,SAP,Software & AI Platforms,206.58,0.31,-4.82,-1.29,0.55
2026-09-11,SNOW,Software & AI Platforms,325.45,-1.3,-8.7,-3.54,0.52
2026-09-11,ARW,Distribution & Materials,226.51,6.12,7.41,8.28,0.94
2026-09-11,AVT,Distribution & Materials,98.1,5.52,8.45,2.61,1.05
2026-09-11,4063.T,Distribution & Materials,5762.0,0.75,-1.66,-9.66,1.06
2026-09-11,LIN,Distribution & Materials,466.92,1.15,-3.17,-2.04,0.48
